 cyto_1 12370 13 3080 10.9074 
 cyto_2 12370 14 3200 10.2172 
 cyto_3 12370 15 3330 9.64481 
 cyto_4 12370 16 3450 9.19768 
 cyto_5 12370 17 3600 8.83733 
 cyto_6 12370 18 3670 8.49617 
 lipids_1 679 1 272.5 13.9611 
 lipids_2 700 1 274.5 14.2231 
 lipids_3 744 1 278.8 14.6535 
 lipids_4 703 1 281.2 15.0949 
 lipids_5 760 1 287.9 15.5515 
 natadh_1 148000 23 7420 25.5723 
 natadh_2 148000 24 7450 23.9523 
 natadh_3 148000 25 7440 22.4392 
 natavidin_1 64000 15 4150 16.7283 
 natavidin_2 64000 16 4150 15.0218 
 natavidin_3 64000 17 4160 13.6643 
 natbsa_1 67000 14 4490 22.0719 
 natbsa_2 67000 15 4490 19.6407 
 natbsa_3 67000 16 4470 17.6117 
 natconcan_1 102700 19 6060 22.7685 
 natconcan_2 102700 20 6080 20.8701 
 natconcan_3 102700 21 6090 19.173 
 natcyto_1 12370 6 1490 13.405 
 natcyto_2 12370 7 1590 11.3062 
 natgdh_1 337000 37 13400 33.5175 
 natgdh_2 337000 38 13400 31.9873 
 natgdh_3 337000 39 13400 30.7022 
 natlacto_1 36750 11 3230 18.0873 
 natlacto_2 36750 12 3310 16.2739 
 natlacto_3 36750 13 3430 15.0505 
 natlactomono_1 18378 7 1950 16.1887 
 natlactomono_2 18378 8 2030 13.4295 
 natlactomono_3 18378 9 2140 12.773 
 natpvk_1 233000 31 11100 29.9467 
 natpvk_2 233000 32 11100 28.0217 
 natpvk_3 233000 33 11000 26.3196 
 nattransthy_1 56000 14 3840 16.703 
 nattransthy_2 56000 15 3850 15.0797 
 poly_3 373.2 1 181 6.10219 
 poly_4 444.2 1 195 7.0985 
 poly_5 515.3 1 211 8.25873 
 poly_6 586.3 1 228 9.63077 
 poly_7 657.3 1 243 10.8738 
 poly_8 728.4 1 256 12.0393 
 poly_9 799.4 1 271 13.3534 
 poly_10 870.5 1 282 14.7116 
 poly_11 941.5 1 294 16.0414 
 poly_12 1012.5 1 306 17.309 
 polyz2_1 799.4 2 296 4.54958 
 polyz2_2 870.5 2 309 4.89411 
 polyz2_3 941.5 2 320 5.24539 
 polyz2_4 1012.5 2 333 5.63181 
 polyz2_5 1083.6 2 344 6.03797 
 polyz2_6 1154.6 2 357 6.45512 
 polyz2_7 1225.6 2 369 6.86637 
 polyz2_8 1296.7 2 380 7.29315 
 polyz2_9 1367.7 2 393 7.7138 
 polyz2_10 1438.8 2 404 8.14642 
 polyz2_11 1509.8 2 416 8.58103 
 polyz2_12 1580.8 2 428 9.02794 
 polyz2_13 1651.9 2 437 9.47924 
 polyz2_14 1722.9 2 448 9.951 
 polyz2_15 1793.9 2 458 10.437 
 polyz2_16 1865 2 470 10.9462 
 polyz3_3 1509.8 3 501 6.0282 
 polyz3_4 1580.8 3 518 6.27355 
 polyz3_5 1651.9 3 532 6.5689 
 polyz3_6 1722.9 3 545 6.84366 
 polyz3_7 1793.9 3 561 7.19354 
 polyz3_8 1865 3 576 7.56637 
 polyz3_9 1936 3 592 7.93628 
 polyz3_10 2007 3 606 8.32561 
 polyz3_11 2078.1 3 621 8.71684 
 polyz3_12 2149.1 3 634 9.08052 
 polyz3_13 2220.2 3 649 9.47608 
 polyz3_14 2291.2 3 666 9.86692 
 polyz3_15 2362.2 3 674 10.2545 
 revpepz1_1 491.2 1 205.3 7.77169 
 revpepz1_2 491.2 1 208.5 8.04334 
 revpepz2_1 492.2 2 260.5 3.45735 
 revpepz2_2 492.2 2 256.6 3.29001 
 small4_1 147.1 1 131.1 2.9071 
 small4_2 152.1 1 130.4 2.8885 
 small4_3 195.1 1 138.6 3.40524 
 small4_4 308.1 1 165.7 5.15928 
 ubiq_1 8570 7 1910 14.443 
 ubiq_2 8570 8 1990 12.2341 
 ubiq_3 8570 9 2090 10.7328 
 ubiq_4 8570 10 2200 9.83256 
 ubiq_5 8570 11 2340 9.23158 
 ubiq_6 8570 12 2480 8.73642 
 ubiq_7 8570 13 2600 8.37891 
